RBD	NOMBRE	COMUNA
9043	ESCUELA DE PARVULOS N°750 CHISPITAS	LA REINA
9046	COLEGIO THE GRANGE SCHOOL	LA REINA
9049	ESCUELA BASICA PART. PAULA JAVIERA	LA REINA
9051	COLEGIO ANDREE ENGLISH SCHOOL	LA REINA
9052	ESCUELA DE PARVULOS LOS TROMPITOS	LA REINA
9053	COLEGIO TERESIANO ENRIQUE DE OSSO	LA REINA
9054	COLEGIO SAINT JOHN´S VILLA ACADEMY	LA REINA
9056	ESCUELA BASICA N° 733 PEQUENO MOZART	LA REINA
9058	INSTITUTO SUPERIOR DE COMERCIO DIEGO PORT	ÑUÑOA
9060	LICEO POLITECNICO PEDRO DE VALDIVIA	ÑUÑOA
9061	LICEO POLITECNICO A N° 60 PRESIDENTE MANUEL MONTT	ÑUÑOA
9063	LICEO INDUSTRIAL BICENTENARIO CHILENO ALEMAN	ÑUÑOA
9064	LICEO TECNICO B NÕ 58 JOSE MARIA NARBONA	ÑUÑOA
9065	LICEO COMERCIAL GABRIEL GONZALEZ VIDELA	ÑUÑOA
9067	EDUC. DIFERENCIAL EXEQUIEL GONZALEZ C. .	ÑUÑOA
9069	LICEO POLIVALENTE MERCEDES MARIN DEL SOLAR	MACUL
9070	ESCUELA BENJAMIN CLARO VELASCO	ÑUÑOA
9071	LICEO AUGUSTO D HALMAR	ÑUÑOA
9072	LICEO VILLA MACUL ACADEMIA EX LICEO JUANA DE IBARBOUROU A 48	MACUL
